Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Nuttiefe mm,Typ (Modell),d2 mm,d3 mm,Aufnahme 6058. _ _ _ _
60550568,unbeschichtet,50,2,2.73,10.0 (5.0*),30 BS,16,28,".0430, .0530, .0630"
60550569,unbeschichtet,50,2,2.73,10.0,20 BS,16,28,".0430, .0530, .0630"
60550570,unbeschichtet,50,2.5,2.73,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
60550571,unbeschichtet,50,2.5,2.73,10.5,20 BS,16,28,".0430, .0530, .0630"
60550572,unbeschichtet,50,3,3.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
60550573,unbeschichtet,50,3,3.08,10.5,20 BS,16,28,".0430, .0530, .0630"
60550574,unbeschichtet,50,4,4.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
60550575,unbeschichtet,50,4,4.08,10.5,20 BS,16,28,".0430, .0530, .0630"
60550576,unbeschichtet,50,5,5.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
60550577,unbeschichtet,50,5,5.08,10.5,20 BS,16,28,".0430, .0530, .0630"
60550579,unbeschichtet,50,6,6.08,10.5,20 BS,16,28,".0430, .0530, .0630"
60550628,unbeschichtet,63,2,2.73,14.5 (7.5*),26 BS,16,32,".0440, .0540, .0640"
60550629,unbeschichtet,63,2,2.73,14.5,18 BS,16,32,".0440, .0540, .0640"
60550630,unbeschichtet,63,2.5,2.73,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
60550631,unbeschichtet,63,2.5,2.73,15.0,18 BS,16,32,".0440, .0540, .0640"
60550632,unbeschichtet,63,3,3.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
60550633,unbeschichtet,63,3,3.08,15.0,18 BS,16,32,".0440, .0540, .0640"
60550634,unbeschichtet,63,4,4.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
60550635,unbeschichtet,63,4,4.08,15.0,18 BS,16,32,".0440, .0540, .0640"
60550636,unbeschichtet,63,5,5.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
60550637,unbeschichtet,63,5,5.08,15.0,18 BS,16,32,".0440, .0540, .0640"
60550639,unbeschichtet,63,6,6.08,15.0,18 BS,16,32,".0440, .0540, .0640"
60550658,unbeschichtet,80,2,2.73,23.0 (11.5*),24 BS,16,32,".0440, .0540, .0640"
60550659,unbeschichtet,80,2,2.73,23.0,16 BS,16,32,".0440, .0540, .0640"
60550660,unbeschichtet,80,2.5,2.73,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
60550661,unbeschichtet,80,2.5,2.73,23.5,16 BS,16,32,".0440, .0540, .0640"
60550662,unbeschichtet,80,3,3.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
60550663,unbeschichtet,80,3,3.08,23.5,16 BS,16,32,".0440, .0540, .0640"
60550664,unbeschichtet,80,4,4.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
60550665,unbeschichtet,80,4,4.08,23.5,16 BS,16,32,".0440, .0540, .0640"
60550666,unbeschichtet,80,5,5.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
60550667,unbeschichtet,80,5,5.08,23.5,16 BS,16,32,".0440, .0540, .0640"
60550669,unbeschichtet,80,6,6.08,23.5,16 BS,16,32,".0440, .0540, .0640"
60550718,unbeschichtet,100,2,2.73,29.0 (14.5*),24 BS,22,40,.0650
60550719,unbeschichtet,100,2,2.73,29.0,16 BS,22,40,.0650
60550720,unbeschichtet,100,2.5,2.73,29.5 (14.5*),24 BS,22,40,.0650
60550721,unbeschichtet,100,2.5,2.73,29.5,16 BS,22,40,.0650
60550722,unbeschichtet,100,3,3.08,29.5 (14.5*),24 BS,22,40,.0650
60550723,unbeschichtet,100,3,3.08,29.5,16 BS,22,40,.0650
60550724,unbeschichtet,100,4,4.08,29.5 (14.5*),24 BS,22,40,.0650
60550725,unbeschichtet,100,4,4.08,29.5,16 BS,22,40,.0650
60550726,unbeschichtet,100,5,5.08,29.5 (14.5*),24 BS,22,40,.0650
60550727,unbeschichtet,100,5,5.08,29.5,16 BS,22,40,.0650
60550729,unbeschichtet,100,6,6.08,29.5,16 BS,22,40,.0650
60550748,unbeschichtet,125,2,2.73,41.5 (21.0*),24 BS,22,40,.0650
60550749,unbeschichtet,125,2,2.73,41.5,16 BS,22,40,.0650
60550750,unbeschichtet,125,2.5,2.73,42.0 (21.0*),24 BS,22,40,.0650
60550751,unbeschichtet,125,2.5,2.73,42.0,16 BS,22,40,.0650
60550752,unbeschichtet,125,3,3.08,42.0 (21.0*),24 BS,22,40,.0650
60550753,unbeschichtet,125,3,3.08,42.0,16 BS,22,40,.0650
60550754,unbeschichtet,125,4,4.08,42.0 (21.0*),24 BS,22,40,.0650
60550755,unbeschichtet,125,4,4.08,42.0,16 BS,22,40,.0650
60550756,unbeschichtet,125,5,5.08,42.0 (21.0*),24 BS,22,40,.0650
60550757,unbeschichtet,125,5,5.08,42.0,16 BS,22,40,.0650
60550759,unbeschichtet,125,6,6.08,42.0,16 BS,22,40,.0650
60550783,unbeschichtet,160,3,3.18,55.5,16 BS,32,48,.0660
60550785,unbeschichtet,160,4,4.18,55.5,16 BS,32,48,.0660
60550845,unbeschichtet,200,4,4.18,75.5,16 BS,32,48,.0660
